,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Intercept,RAPM__Off,RAPM__Off_Rank,playerId,playerName
0,-0.102,280.0,-0.152,324.0,111.321,0.05,228.0,101106,Andrew Bogut
1,-0.067,269.0,-0.374,404.0,111.321,0.307,145.0,101107,Marvin Williams
2,1.692,42.0,1.131,25.0,111.321,0.562,97.0,101108,Chris Paul
3,0.032,234.0,0.739,72.0,111.321,-0.707,455.0,101109,Raymond Felton
4,-1.776,503.0,-1.211,514.0,111.321,-0.565,431.0,101112,Channing Frye
5,0.348,161.0,-0.874,486.0,111.321,1.221,36.0,101123,Gerald Green
6,-0.286,332.0,0.41,130.0,111.321,-0.696,453.0,101133,Ian Mahinmi
7,-0.598,397.0,0.091,200.0,111.321,-0.688,452.0,101139,CJ Miles
8,1.577,45.0,0.757,71.0,111.321,0.82,62.0,101141,Ersan Ilyasova
9,0.987,81.0,-0.652,457.0,111.321,1.639,18.0,101150,Lou Williams
10,-0.843,435.0,-0.512,432.0,111.321,-0.331,370.0,101161,Amir Johnson
11,-0.821,430.0,-0.263,371.0,111.321,-0.558,428.0,101162,Marcin Gortat
12,-2.099,516.0,-0.392,409.0,111.321,-1.707,519.0,101181,Jose Calderon
13,-0.902,444.0,-0.505,429.0,111.321,-0.397,383.0,1626143,Jahlil Okafor
14,-1.599,497.0,-1.154,513.0,111.321,-0.445,400.0,1626144,Emmanuel Mudiay
15,0.374,158.0,0.217,164.0,111.321,0.157,177.0,1626145,Tyus Jones
16,-0.578,393.0,-0.333,394.0,111.321,-0.245,343.0,1626147,Justin Anderson
17,0.264,177.0,-0.664,460.0,111.321,0.928,53.0,1626149,Montrezl Harrell
18,-0.116,284.0,0.029,234.0,111.321,-0.146,315.0,1626150,Andrew Harrison
19,0.156,199.0,0.073,209.0,111.321,0.082,208.0,1626153,Delon Wright
20,0.444,147.0,0.225,161.0,111.321,0.219,159.0,1626154,RJ Hunter
21,-0.498,372.0,-0.656,458.0,111.321,0.158,176.0,1626155,Sam Dekker
22,0.079,215.0,0.581,93.0,111.321,-0.502,414.0,1626156,DAngelo Russell
23,0.801,96.0,-0.17,334.0,111.321,0.971,47.0,1626157,Karl-Anthony Towns
24,-0.361,348.0,-0.186,344.0,111.321,-0.174,322.0,1626158,Richaun Holmes
25,1.795,36.0,1.72,4.0,111.321,0.074,214.0,1626159,Justise Winslow
26,0.807,95.0,0.549,100.0,111.321,0.257,153.0,1626161,Willie Cauley-Stein
27,-1.033,459.0,-0.992,499.0,111.321,-0.041,279.0,1626162,Kelly Oubre Jr.
28,0.523,131.0,0.12,189.0,111.321,0.403,124.0,1626163,Frank Kaminsky
29,-0.484,370.0,-1.37,518.0,111.321,0.886,57.0,1626164,Devin Booker
30,-1.83,505.0,-0.963,494.0,111.321,-0.867,481.0,1626166,Cameron Payne
31,0.359,159.0,1.325,15.0,111.321,-0.966,493.0,1626167,Myles Turner
32,-0.928,449.0,0.123,187.0,111.321,-1.05,499.0,1626168,Trey Lyles
33,-1.816,504.0,1.338,13.0,111.321,-3.153,529.0,1626169,Stanley Johnson
34,-1.286,481.0,-0.206,351.0,111.321,-1.08,502.0,1626170,Jerian Grant
35,-0.277,330.0,-0.941,491.0,111.321,0.665,79.0,1626171,Bobby Portis
36,1.555,46.0,0.099,196.0,111.321,1.456,23.0,1626172,Kevon Looney
37,-0.594,396.0,-0.142,319.0,111.321,-0.452,404.0,1626174,Christian Wood
38,0.671,113.0,0.913,50.0,111.321,-0.242,341.0,1626178,Rondae Hollis-Jefferson
39,-1.666,499.0,-0.139,318.0,111.321,-1.526,514.0,1626179,Terry Rozier
40,-0.611,401.0,-0.099,295.0,111.321,-0.512,416.0,1626181,Norman Powell
41,-1.304,483.0,-0.771,473.0,111.321,-0.533,421.0,1626184,Chasson Randle
42,0.539,130.0,0.395,131.0,111.321,0.144,183.0,1626185,Jarell Martin
43,-2.495,523.0,-1.536,521.0,111.321,-0.958,492.0,1626188,Quinn Cook
44,0.289,169.0,-0.143,320.0,111.321,0.433,119.0,1626192,Pat Connaughton
45,-1.193,474.0,-1.571,522.0,111.321,0.379,129.0,1626195,Willy Hernangomez
46,1.134,68.0,0.94,48.0,111.321,0.194,165.0,1626196,Josh Richardson
47,1.027,75.0,0.582,91.0,111.321,0.445,117.0,1626203,Treveon Graham
48,-0.87,437.0,-0.697,463.0,111.321,-0.173,321.0,1626204,Larry Nance Jr.
49,-0.877,440.0,-0.137,315.0,111.321,-0.74,463.0,1626209,Mario Hezonja
50,0.161,195.0,0.084,203.0,111.321,0.078,211.0,1626210,Alan Williams
51,1.195,64.0,1.333,14.0,111.321,-0.137,310.0,1626220,Royce ONeale
52,-2.857,526.0,-2.335,527.0,111.321,-0.522,420.0,1626224,Cedi Osman
53,-1.171,472.0,-0.968,496.0,111.321,-0.203,332.0,1626245,Cristiano Felicio
54,0.076,217.0,0.493,110.0,111.321,-0.417,390.0,1626246,Boban Marjanovic
55,-0.453,362.0,-0.304,384.0,111.321,-0.149,317.0,1626257,Salah Mejri
56,-0.159,300.0,-0.148,322.0,111.321,-0.01,264.0,1626259,Malcolm Miller
57,-0.095,279.0,-0.13,312.0,111.321,0.034,239.0,1626296,Jordan Sibert
58,-0.152,297.0,-0.017,260.0,111.321,-0.135,308.0,1627215,Walter Lemon Jr.
59,0.12,206.0,0.047,227.0,111.321,0.073,216.0,1627395,Julian Washburn
60,0.423,152.0,-0.007,252.0,111.321,0.429,120.0,1627732,Ben Simmons
